ReviewID,ProductID,UserID,name,category,ratings,reviews
RW36223,P123013,U0859327,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 8GB RAM, 128GB Storage)", Electronics,4.3,"The OnePlus Nord CE 2 Lite 5G in Blue Tide is quite impressive for its price point. With 8GB of RAM and 128GB storage, there's plenty of room for all your apps and files without worrying about running out of space anytime soon. The camera takes decent photos in good lighting conditions, although low light performance could be better"
RW36224,P123014,U0934015,"boAt Airdopes Atom 81 True Wireless in Ear Earbuds with Upto 50H Playtime, Quad Mics ENx Tech, 13MM Drivers, Beast Mode(50...", Electronics,3.8,"The Boat Airdopes Atom 81 are decent earbuds for their price range. The sound quality is pretty good thanks to their large drivers, however they don't have much bass. They do offer up to 50 hours of playtime which is quite impressive"
RW36225,P123015,U0591184,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming,...", Electronics,3.9,"Response: ""The BoAt Airdopes 141 are decent earbuds that offer good battery life at 42 hours. The low latency mode is great for gaming, but sound quality could be better. Not bad for the price though"
RW36226,P123016,U0597506,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black), Electronics,4.1,"These headphones are perfect for anyone who wants great sound quality without breaking the bank. The bass is particularly impressive, making them great for music lovers. However, they may not be as durable as more expensive options, so be careful with them. Overall, I'd give these headphones a solid 4.1 out of 5"
RW36227,P123017,U0175222,"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual ...", Electronics,4.1,"""The boAt Rockerz 330 are pretty solid earphones for their price point - they've got great sound quality and an impressive battery life that lasts up to 30 hours. The dual connectivity feature is also really handy for switching between devices seamlessly"
RW36228,P123018,U0592046,Lapster 5-in-1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller fo..., Electronics,4.2,"The Lapster 5-in-1 cleaning set is an essential for any tech enthusiast. With its multi-functionality, you can easily clean your laptop, keyboard, or other gadgets without worrying about damaging them"
RW36229,P123019,U0899272,"boAt Wave C Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Cing Chip, 1.69 HD Display with 550 NITS & 70%...", Electronics,3.8,"The Boat Wave C is an okay smartwatch for its price point. The design is sleek, and I like that there's an option for a physical button in addition to touchscreen controls. However, I was disappointed by the lackluster display brightness - even at its highest setting, I found myself squinting to see notifications in direct sunlight"
RW36230,P123020,U0374908,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...", Electronics,4.2,"These earbuds are pretty solid for their price point. The bass is bombastic as advertised, making them great for music lovers who enjoy bass heavy tracks. The battery life is also impressive at up to 20 hours, though I haven't tested this claim yet"
RW36231,P123021,U0983439,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight...", Electronics,3.8,"Response: The BoAt Airdopes 121v2 earbuds are decent for their price point. The sound quality is pretty good thanks to the 8mm drivers, delivering clear highs and rich bass. However, they're not perfect - I found the battery life could be better as I only got around 10 hours of use before needing to recharge"
RW36232,P123022,U0780315,"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12", Electronics,4,"Review: ""The Redmi A1 is quite impressive for its price point - you get a solid battery life thanks to the massive 5000mAh battery, plus an eye-catching leather texture design that gives it a premium feel. The dual cameras perform decently in well-lit conditions too"
RW36233,P123023,U0014054,"Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | U...", Electronics,4,"The Xiaomi Redmi 10A is a solid pick for budget shoppers looking for a reliable smartphone. It's got decent specs like a 2GHz octa-core processor, 4GB RAM, and 64GB storage that can be expanded via microSD card"
RW36234,P123024,U0087758,"OnePlus Nord Buds True Wireless in Ear Earbuds with Mic, 12.4mm Titanium Drivers, Playback:Up to 30hr case, 4-Mic Design +...", Electronics,4.2,"""The OnePlus Nord Buds are pretty solid earbuds for their price point. The sound quality is great thanks to the titanium drivers, and I love how long they last - up to 30 hours playtime with the charging case. However, I wish there was more noise cancellation tech built-in"
RW36235,P123025,U0718451,"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAPÃ‚â„¢ Charge, IPX7, Dual Pairing, BT v5.0, wi...", Electronics,4.1,"The Boat Rockerz 255 Pro+ is a solid choice for those seeking high-quality audio and long battery life. With up to 40 hours of playtime and fast charging capabilities, you'll have plenty of music to enjoy without worrying about running out of juice"
RW36236,P123027,U0294538,"Hammer Ace 3.0 Bluetooth Cing Smart Watch with Largest 1.85"" IPS Display, Dual Mode, Spo2, Heart Rate, Strong Metic ...", Electronics,3.3,"The Hammer Ace 3.0 Bluetooth Cing Smart Watch is an okay choice for basic fitness tracking and notifications. The large display is nice, but battery life could be better. The dual mode feature is interesting, but doesn't add much functionality in my opinion. It's alright if you want something simple, but there are better options out there"
RW36237,P123028,U0988521,"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | ...", Electronics,4.1,"Review: ""The iQOO Z6 Lite is quite impressive for its price point. The world's first Snapdragon 4 Gen 1 chipset ensures smooth performance, while the 120Hz refresh rate makes everything look super sleek"
RW36238,P123029,U0867012,MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sa..., Electronics,4.3,"Review: ""The MI Power Bank 3i is a reliable companion for all your charging needs. With its massive 20000mAh capacity, you can charge your devices multiple times over without worrying about running out of juice. The fast charging feature is a game changer, especially when you're in a hurry"
RW36239,P123030,U0366966,SanDisk Cruzer Blade 32GB USB Flash Drive, Electronics,4.3,"The Sandisk Cruzer Blade is an excellent choice for anyone in need of reliable flash drive storage. It's compact size makes it easy to carry around while still offering ample space at 32 GB. The read/write speeds are quite impressive as well. However, durability could be improved as it feels quite plasticky"
RW36240,P123031,U0964168,"SanDisk UltraÃ‚Â® microSDXCÃ¢â€žÂ¢ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones", Electronics,4.4,"The Sandisk Ultra MicroSDXC card is an excellent choice for smartphone users who need extra storage space. With its impressive read speed of up to 140 MB/s, transferring files between devices becomes quick and effortless. Its durable design ensures that your data remains safe even in harsh conditions"
RW36241,P123032,U0294646,"boAt Airdopes 141 Pro True Wireless in Ear Earbuds with 45H Playtime, Quad Mics Enx Tech, 12mm Drivers, ASAP Charge, Beast...", Electronics,3.9,"The Boat Airdopes 141 Pro are decent earbuds for their price point. They offer good sound quality thanks to their large 12mm drivers, which produce clear highs and punchy bass. The quad mics with ENX tech also do a decent job at reducing background noise during calls"
RW36242,P123033,U0777400,"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12", Electronics,4,The Xiaomi Redmi A1 in Light Green is quite impressive for its price point! The battery life is amazing - I can easily go two days without charging thanks to the 5000mAh capacity. The dual cameras are powered by some decent AI tech that takes pretty good photos during daytime
RW36243,P123034,U0397362,"Fire-Boltt Phoenix Smart Watch with Bluetooth Cing 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate ...", Electronics,4.3,"The Fire-Boltt Phoenix Smart Watch is quite impressive! I love how it has over 120 sports modes, making it perfect for fitness enthusiasts like me. The high resolution display is also a big plus - it's so clear and easy to read. I appreciate the heart rate monitor and SpO2 sensor too, they really come in handy during workouts"
RW36244,P123035,U0361127,Samsung 25W USB Travel Adapter for Cellular Phones - White, Electronics,4.4,"The Samsung 25W USB Travel Adapter is compact yet powerful, making it perfect for charging your cell phone on-the-go. The sleek white design looks stylish while providing fast charging capabilities. However, some users may find it slightly pricey compared to other adapters in the market. Overall, I'd rate this product 4"
RW36245,P123037,U0677843,"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with...", Electronics,3.5,"The bassbuds duo from pTron offer good sound quality, especially for bass lovers. However, their battery life is not as impressive as advertised, falling short by several hours. The touch controls are also not very responsive at times. Overall, they're decent earbuds if you're looking for something affordable and don't mind charging them frequently"
RW36246,P123038,U0004192,"TAGG Verve Sense Smartwatch with 1.70'' Large Display, Real SPO2, and Real-Time Heart Rate Tracking, 7 Days Battery Backu...", Electronics,3.7,"The TAGG Verve Sense Smartwatch has some impressive specs like a large display and accurate heart rate tracking. However, its battery life could be better as it only lasts for about 4 days instead of the advertised 7 days. Additionally, I found that the smartphone integration could use some work as I had trouble syncing it at times"
RW36247,P123039,U0627280,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(B...", Electronics,4.1,The Portronics Toad 23 is an impressive wireless optical mouse that offers seamless connectivity through its nifty 2.4 GHz USB nano dongle. Its optical orientation makes for smooth tracking while the adjustable DPI lets you customize your cursor's speed as per preference
RW36248,P123040,U0873876,"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 | 5000 mAh Battery", Electronics,4,"Review: The Samsung Galaxy M04 in light green is quite an impressive device for its price point! With 4GB of RAM (expandable up to 8GB via RAM Plus), you can easily multitask without any lag or stuttering issues. The storage capacity at 64GB is decent too, leaving enough space for all your files and apps"
RW36249,P123041,U0048540,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)", Electronics,3.5,"Sure thing! I've had these Zebronics earbuds for about a month now, and I gotta say they're alright. The sound quality is decent - not amazing, but definitely not bad either"
RW36250,P123042,U0402722,"realme narzo 50A Prime (Flash Blue, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera| Charger Included", Electronics,4,"The Realme Narzo 50A Prime in Flash Blue is quite impressive for its price point. With a sleek design and solid build quality, this phone has caught my eye. The FHD+ display offers crisp visuals, making streaming or gaming an enjoyable experience"
RW36251,P123043,U0218665,boAt Bassheads 220 Wired in Ear Earphones(Black Indi), Electronics,4.1,"The Boat Bassheads 220 are some pretty solid earphones for their price point - I've been using them for about two weeks now and I'm pretty impressed. They're comfortable enough to wear all day long, have decent sound quality (especially those bass notes), and are pretty durable too"
RW36252,P123044,U0833140,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...", Electronics,4.2,"These earbuds are pretty great for their price point! They have powerful bass thanks to their large drivers, and I love that they can last up to 20 hours on just a ten minute charge. The mic is decent too. However, I do wish the fit was more secure as I find them slipping out sometimes during workouts"
RW36253,P123045,U0349270,"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrat...", Electronics,4.1,"The Boat Rockerz 450 are some pretty solid headphones for their price point. They've got great sound quality thanks to their 40mm drivers, plus they're comfortable for long listening sessions thanks to the padded ear cushions"
RW36254,P123046,U0170855,"Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto ...", Electronics,4,"The Redmi 10A is a solid budget phone that won't break the bank. With its 2Ghz octa core processor and 4GB of RAM, you can expect smooth performance for everyday tasks. The 5000mAh battery also ensures long lasting use, so you won't have to constantly charge your phone"
RW36255,P123047,U0186959,"JK Copier Paper - A4, 75 GSM, 1 Ream, 500 Sheets", Electronics,4.3,"""Not bad at all for copier paper! It's got a good weight to it so pages don't feel flimsy, plus the ream lasts forever. Only downside is that sometimes ink doesn't always come out super smooth"
RW36256,P123048,U0650623,Fire TV Stick with Alexa Voice Remote (includes TV and app controls) | HD streaming device, Electronics,4.4,"The Fire TV Stick is an awesome gadget for anyone who loves streaming content in high definition! With Alexa voice control built in, you can easily search for your favorite shows without having to lift a finger - just ask Alexa to find them for you"
RW36257,P123049,U0135103,"WRISTIO 3 1.85"" HD, Bluetooth Cing Smart Watch, 50+ Sports Modes, Rotating Crown, 15 days battery life, Split-screen, W...", Electronics,3.5,"The WRISTIO 3 is an okay smart watch for everyday use. It's got some cool sports modes, like hiking and cycling, which I found pretty handy when I was outdoors. The split screen feature also makes multitasking easier"
RW36258,P123050,U0844570,"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...", Electronics,3.9,"Review: ""The Scotch Double Sided Heavy Duty Tape is decent enough for lightweight items like photo frames or mirrors. However, I wouldn't rely on it for anything heavier as its holding capacity seems somewhat overstated. The adhesive is strong initially but loses grip over time, which can be frustrating"
RW36259,P123051,U0213513,"Noise Pulse Go Buzz Bluetooth Cing Smart Watch, 1.69"" Clear Display, 550Nits,150+ Watch face, Comfort Strap, Heart Rat...", Electronics,4.1,"The Noise Pulse Go Buzz Bluetooth smart watch is a great choice for anyone looking for a stylish and functional wearable device. With its clear display that boasts an impressive brightness of 550 nits, you can easily read the time or check your notifications even in direct sunlight"
RW36260,P123052,U0214713,"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible...", Electronics,4.3,"Review: The STRIFF Mpad is a solid choice for gamers looking for durability and precision in their mouse pad game. With its non-slip rubber base keeping things stable during intense gaming sessions, you won't have to worry about your mat sliding around anymore"
RW36261,P123053,U0546271,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Table..., Electronics,4.3,"The STRIFF adjustable laptop stand is a game changer for anyone working from home or on the go. It's ventilated design keeps your device cool while you work, and its adjustability allows for comfortable viewing angles no matter where you are. I've been using mine daily and I can confidently say that it has improved my productivity significantly"
RW36262,P123054,U0862620,"Noise Pulse 2 Max Advanced Bluetooth Cing Smart Watch with 1.85'' Display, 550 NITS Brightness, Smart DND, 10 Days Batt...", Electronics,4.1,"The Noise Pulse 2 Max Advanced Bluetooth Cing Smart Watch is an impressive piece of tech for its price point. The bright 1.85"" display is sharp and easy to read even in direct sunlight thanks to the high brightness of 550 nits"
RW36263,P123055,U0058877,Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Electronics,4.3,The Samsung EVO Plus 128GB microSDXC card is an excellent choice for anyone looking for reliable storage that can handle high-resolution video recording
RW36264,P123056,U0081827,"Fire-Boltt Phoenix Pro 1.39"" Bluetooth Cing Smartwatch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, He...", Electronics,4.3,The Fire-Boltt Phoenix Pro is quite impressive with its sleek metal body design that catches your eye right away. The watch comes packed with over 120 sports modes which is perfect for fitness enthusiasts who want to track their workouts in detail
RW36265,P123057,U0402720,"Oppo A78 5G (Glowing Blue, 8GB RAM, 128 Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger| 50MP AI Camera | 90Hz Refr...", Electronics,4.2,"The Oppo A78 5G is quite impressive for its price point! I love how fast it charges thanks to the included 33W SUPERVOOC charger, and I'm always impressed by how long the battery lasts - up to two days easily. The camera is decent too, especially in well-lit conditions"
RW36266,P123058,U0763441,LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set..., Electronics,4.1,"Review: ""The LAPSTER Spiral Charger is a handy gadget that's saved my charging cables from wear and tear more times than I can count. The spiral design makes it easy to wrap up cords without tangling them, and the protective cover keeps them safe from damage. However, the cable holders could be sturdier"
RW36267,P123059,U0063283,"boAt Xtend Smartwatch with Alexa Built-in, 1.69Ã¢â‚¬Â HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitorin...", Electronics,4.2,The boAt Xtend Smartwatch is quite impressive! I love how I can talk directly to Alexa through it - makes multitasking so much easier. The high definition display really brings everything to life too. It's got all these health monitoring features like stress tracking and heart rate monitoring which are super useful for keeping tabs on my wellbeing
RW36268,P123060,U0533748,"Duracell Alkaline AAA Batteries, Pack of 10", Electronics,4.4,"These batteries are dependable for everyday use in low-drain devices like remote controls or clocks. However, they may not last as long in high-drain devices such as cameras or toys. Overall, I'm pleased with their performance for their price point"
RW36269,P123061,U0601643,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)", Electronics,4.1,"This cable is great for quick charging and data transfer, I love how tangle free it stays even in my messy bag. However, I wish it was a bit more durable as mine started fraying after just a few months of use"
RW36270,P123062,U0786885,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor,...", Electronics,4,"The Boat Flash Edition Smart Watch is quite impressive for its price point - I love how sleek and stylish it looks, especially with all those customizable watch faces. The activity tracker works well enough, and I appreciate that there are multiple sports modes available. However, battery life could be better and sometimes connecting it to my phone can be frustrating"
RW36271,P123063,U0394141,"pTron Tangent Evo, 14Hrs Playback, Bluetooth 5.0 Earphones, In-Ear Headphones with Mic, Deep Bass, Clear Cs, IPX4 Water...", Electronics,3.8,"The pTron Tangent Evo earphones offer solid sound quality with deep bass and clear highs, perfect for music lovers who want an immersive listening experience. However, their battery life could be better as they only last up to 14 hours on a single charge"
RW36272,P123064,U0798503,"Samsung Galaxy M04 Dark Blue, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 | 5000 mAh Battery", Electronics,4,"The Samsung Galaxy M04 in dark blue is quite impressive for its price point. It boasts a generous 4GB RAM that can expand up to 8GB thanks to RAM Plus technology, making multitasking smoother than ever before"
RW36273,P123065,U0252069,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfor...", Electronics,4.1,"Review: The JBL C100SI headphones offer great sound quality with deep bass that really packs a punch. They're comfortable to wear too, thanks to their angled buds that fit snugly in your ears. However, they could use better noise cancellation and the mic isn't the best either. Overall, still a solid choice for everyday use"
RW36274,P123066,U0899478,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/M...", Electronics,4.4,"The Logitech B170 wireless mouse is an excellent choice for anyone looking for convenience and reliability in their peripherals. With its compact design, ambidextrous shape, and long battery life, this little gadget has got you covered whether you're left or right-handed"
RW36275,P123067,U0699784,"Echo Dot (3rd Gen) - Alexa smart speaker for music, smart home, kids learning & added Bluetooth control", Electronics,4.4,"The Echo Dot is an awesome little device that packs a big punch. It's perfect for streaming your favorite tunes or controlling your smart home gadgets with just your voice. Plus, the added Bluetooth control makes it even more versatile. The only downside is that sometimes it has trouble understanding my commands, which can be frustrating"
RW36276,P123068,U0237030,"Fire-Boltt Invincible Plus 1.43"" AMOLED Display Smartwatch with Bluetooth Cing, TWS Connection, 300+ Sports Modes, 110 ...", Electronics,2.2,"The Fire-Boltt Invincible Plus smartwatch is just okay. The AMOLED display looks nice enough, I guess, but there's not much else going for it. The Bluetooth connection can be spotty at times, which is frustrating when trying to connect to your phone or other devices"
RW36277,P123069,U0825120,"GM 3060 E-Book 4 + 1 Power Strip 240 Volts with Master Switch, Indicator, Safety Shutter & 4 International sockets, Red & ...", Electronics,4.5,"This power strip is compact yet powerful, perfect for charging multiple devices at once. The master switch is conveniently located and easy to use, while the safety shutter adds an extra layer of protection. The red color adds a pop of style to any workspace or entertainment setup"
RW36278,P123070,U0532388,"OneAssist 1 Year Extended Warranty for Smartwatch up to 3000 - Email Delivery Within 2 Hours, No Physical Kit", Electronics,4,"Sure thing! I recently purchased the OneAssist 1 Year Extended Warranty for my smartwatch and I have to say, I'm pretty impressed. The coverage is great, protecting my device from any manufacturer defects or accidents that may occur within the year"
RW36279,P123071,U0625598,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years...", Electronics,4.3,"Review: The HP X1000 is a reliable mouse for everyday use. Its three handy buttons come in clutch, especially when multitasking or browsing through multiple tabs. The fast-moving scroll wheel makes navigating lengthy documents or webpages a breeze. The optical sensor ensures smooth tracking on various surfaces"
RW36280,P123072,U0862122,"HP v236w USB 2.0 64GB Pen Drive, Metal", Electronics,4.2,"The HP v236w USB 2.0 pen drive is a solid choice for everyday use. Its metal design feels sturdy and premium in hand, while its ample 64GB storage capacity provides plenty of space for files and documents. However, transfer speeds could be faster due to the USB 2"
RW36281,P123073,U0888578,boAt BassHeads 900 On-Ear Wired Headphones with Mic (White), Electronics,4.2,"""The boAt BassHeads 900 are some solid headphones for their price point. They've got great sound quality, especially for bass lovers like myself. The mic is decent too, perfect for calls or quick chats"
RW36282,P123074,U0081156,"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, ZenÃ¢â€žÂ¢ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Ma...", Electronics,3.9,"""The Boult Audio Z40 earphones have some decent sound quality for music listening, but they don't perform as well for calls due to muffled audio at times. The battery life is impressive at up to 60 hours, which is great for long trips or days without access to charging"
RW36283,P123075,U0012766,SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive, Electronics,4.2,"The Sandisk Cruzer Blade is an excellent choice for those looking for reliable storage at an affordable price. With its sleek design and durable build, this flash drive offers plenty of space at 64 GB, making it perfect for transferring files or storing important documents. While not as fast as some other drives out there due to its USB 2"
RW36284,P123076,U0182385,"SanDisk UltraÃ‚Â® microSDXCÃ¢â€žÂ¢ UHS-I Card, 128GB, 140MB/s R, 10 Y Warranty, for Smartphones", Electronics,4.4,"Review: ""The Sandisk Ultra Micro SD card is pretty good, I've been using it in my phone for a while now and I haven't had any issues. It has a large storage capacity at 128 GB so you can store plenty of photos, videos, and apps without worrying about running out of space"
RW36285,P123077,U0417619,"Redmi 10A (Sea Blue, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5G...", Electronics,4,"Review: The Redmi 10A is a solid choice for budget-conscious consumers looking for reliable performance. With its 2 Ghz Octa Core Helio G25 processor and 4GB RAM, you can expect smooth multitasking and efficient app usage"
RW36286,P123078,U0500633,"OnePlus Nord Buds True Wireless in Ear Earbuds with Mic, 12.4mm Titanium Drivers, Playback:Up to 30hr case, 4-Mic Design +...", Electronics,4.2,"The OnePlus Nord Buds are some solid earbuds for their price point! The sound quality is pretty impressive thanks to their large titanium drivers, which make for some clear high notes and rich bass tones. They've got great battery life too - up to 7.5 hours on a single charge and an additional 22"
RW36287,P123079,U0901963,"MI Cordless Beard Trimmer 1C, with 20 length settings, 60 MInutes of usage, & USB Fast charging, black", Electronics,4.2,"Review: ""The MI Cordless Beard Trimmer 1C is quite impressive with its 20 length settings, ensuring you get that perfect trim every time. The battery life is solid too - I got around an hour out of it before needing to recharge via USB, which was super convenient"
RW36288,P123080,U0095413,"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Cing, Voice Assistant &123 Sports Modes, 8 Unique...", Electronics,4,"The Fire-Boltt Gladiator is a solid smartwatch for its price point. The massive 1.96 inch display provides great visibility for all your notifications and workout stats. With over 123 sports modes available, this watch caters well to fitness enthusiasts who want to track their progress in various activities"
